Include,posted_iso,Author,Headline,Summary,Tags,post_url
Y,3mo ,Eric Matzner,Accelerating Earth's Energy Imbalance: A Call for Reframing Climate Action,"Eric Matzner highlights a climate paper revealing a significant acceleration in Earth's Energy Imbalance, which has nearly doubled in recent decades, indicating the planet is absorbing energy at an unprecedented rate. This acceleration, not fully accounted for in current climate models, is partly linked to the removal of sulfur from ship emissions, which previously provided unintentional solar radiation management. Matzner argues for reframing the climate conversation towards balancing Earth's energy intake, requiring GHG removal and potentially global cooling interventions (Solar Radiation Management) as a bridge to prevent irreversible tipping points like the collapse of the Atlantic Meridional Overturning Circulation (AMOC). He also warns of the risk of losing satellites that track this crucial data.","Science, Impacts, Policies and Measures, Risk Disclosure",https://www.linkedin.com/posts/ericmatzner_any-time-you-see-a-climate-paper-with-this-activity-7328183885639421954-P3nR
Y,3mo,Janie Thompson,Revisiting DOE's Commercial Liftoff Reports: Pathways for Clean Energy and Climate Tech,"Janie Thompson expresses puzzlement over the apparent suppression of the DOE's Commercial Liftoff reports, which were initially met with bipartisan support for outlining scientific, economic, and policy pathways to technology outcomes. Despite their value in advancing clean energy and climate tech across various sectors (Advanced Nuclear, Carbon Management, Clean Hydrogen, etc.), these 'smart reports with little political agenda' have been 'disappeared'. Thompson advocates for policymakers and industry leaders to revisit these crucial reports, noting that their disappearance is consistent with a 'systematic dismantling of governmental involvement in advancing science and technology'.","New Reports, Policies and Measures, Energy Transition, Science, Economics",https://www.linkedin.com/posts/janie-thompson-7b07597_pathways-to-commercial-liftoff-reports-activity-7330250238378586112-piIa
Y,4mo,Alexander Nevolin,Climate Risk and Asset Pricing: Uncovering Blind Spots in Market Models,"Alexander Nevolin explores whether climate risk is already priced into assets, challenging the efficient market theory by highlighting practical model limitations. He notes that while some pricing components (sectoral dividends, discount rates) may reflect climate uncertainty, others like volatility dynamics or jump processes are rarely calibrated for climate stress, and mean reversion speeds retain historical inertia. Nevolin suggests that model structure, data limitations, or path-dependent assumptions can create blind spots, leading to climate risk being underestimated or entirely absent in pricing, especially when GDP models ignore physical reality. He concludes that markets may be wrong in more places than thought, particularly regarding long-tail and unprecedented risks.","Risk Disclosure, Economics, Science, Business Impacts",https://www.linkedin.com/posts/alexander-nevolin-0ba0105_is-climate-risk-already-priced-in-there-activity-7324136699800805376-FH1B
Y,3mo,Assaad Razzouk,Climate Litigation on the Rise: Five Key Cases Challenging Big Oil and Anti-Science Agendas,"Assaad Razzouk identifies five significant climate litigation cases globally, emphasizing the growing legal pressure on 'Big Oil'. These cases include Hawaii v. Big Oil for alleged climate deception, a youth lawsuit against Ontario's cap-and-trade cancellation, a challenge to California's mandatory climate risk disclosure laws, farmers suing the U.S. Agriculture Department for scrubbing climate references, and African NGOs suing Uganda and Tanzania over the East African Crude Oil Pipeline. Razzouk suggests that while it will take the rest of the decade, the legal system is powerfully coming after fossil fuel companies.","Litigation, Business Impacts, Policies and Measures, Risk Disclosure, New Reports",https://www.linkedin.com/posts/assaadrazzouk_five-climate-litigation-cases-to-watch-out-activity-7326254902702149632-8KBj
Y,3mo,Jan Umsonst,New Data Confirms Significant Acceleration of Global Warming Since 2015,"Jan Umsonst discusses a new preprint that confirms the significant acceleration of global warming since 2015, driven by a synchronization of feedbacks from various Earth subsystems. This acceleration became notable during the 2015/16 El Niño, with contributions from high northern latitudes, Arctic amplification, other ocean areas, and subsurface heat release. The recent temperature jump saw an increase in contributing systems, such as Antarctic sea ice loss and marine heatwaves, leading to an expectation that future temperature jumps will further intensify these feedbacks and accelerate global warming. The Earth's Energy Imbalance is steadily increasing, driving every aspect of global warming and climate change.","Science, Impacts, Risk Disclosure, New Reports",No matching URL found in provided list.
Y,4mo,Assaad Razzouk,Positive Climate Developments: Global Energy Shift and Accelerating Legal Actions,"Assaad Razzouk compiles positive climate news, highlighting global energy shifts and legal actions, including election wins for pro-climate leaders, falling energy-related emissions per person, and significant increases in wind, solar, and nuclear capacity in China and Europe. He notes that solar panels will be mandatory for new homes in England, and Scotland's last oil refinery has ceased crude processing. Legal advancements include a paper quantifying climate damages by oil and gas companies for court evidence, Hawaii's lawsuit against Big Oil proceeding, and investors calling on HSBC to reinstate climate targets. However, a commenter, Andrew Gaines, cautions that renewable uptake isn't seriously displacing fossil fuels, with continued coal plant construction in China and industrialization in other regions, emphasizing the need for affluent nations to reduce industrial production and consumption.","Energy Transition, Policies and Measures, Litigation, Business Impacts, Impacts, Economics, Science, New Reports",https://www.linkedin.com/posts/assaadrazzouk_good-climate-news-this-week-1-albanese-wins-activity-7324795076440662016-1AYj
Y,4mo,Josephine Moulds,HSBC Accused of Breaking Climate Pledges with Glencore Deal,"Josephine Moulds reports that HSBC allegedly broke its pledge not to fund companies expanding coal operations, specifically by helping Glencore raise $1 billion in 2023. This deal involves the Cerrejón mine, known for human rights abuses and environmental harms. Investors like AkademikerPension and Epworth Investment Management, along with non-profit ActionAid, have expressed anger and concern over HSBC's credibility and its 'silence and vague statements'. These stakeholders are prepared to use tools like engagement, votes, and capital to hold institutions accountable for undermining climate pledges.","Business Impacts, Policies and Measures, Risk Disclosure, Litigation",https://www.linkedin.com/posts/josephine-moulds-3b83242_hsbc-breaks-climate-pledge-with-billion-dollar-activity-7323698314460205057-mssW
Y,4mo,Billy Roberts,"NREL Publishes Refined Data Center Map, Highlighting Sensitive Data","Billy Roberts announces the official publication of the refined data center map by NREL, noting that the map underwent refinements and incorporated suggestions. He provides a link to download the high-resolution JPG suitable for printing. Roberts clarifies a common question, stating that an interactive web map cannot be made available due to the sensitive and proprietary nature of the data.","Visualizations, New Reports, Energy Transition",https://www.linkedin.com/posts/billy-roberts-27092016a_hi-everyone-thanks-for-your-patience-with-activity-7324146680570728448-xxAI
Y,3mo,Margriet Kuijper,"US House Passes Energy & Tax Reform Bill: Setbacks for Clean Energy, Intriguing CCS Support","Margriet Kuijper discusses the US House's passage of a sweeping energy and tax reform bill, which includes significant reversals of federal clean energy tax policy, such as sunsetting credits for residential solar, EVs, and energy-efficient home upgrades after 2025. She finds it intriguing that a tax credit for Carbon Capture and Storage (CCS) survived, despite the general anti-climate stance of the administration, suggesting a potential commercial opportunity for the fossil fuel industry or an acknowledgement that climate change is a problem. Mona Dajani details the cuts to various clean energy credits (solar, wind, nuclear, storage, hydrogen, manufacturing) and foreign entity restrictions, noting that the bill still needs Senate approval.","Policies and Measures, Economics, Energy Transition, Carbon Capture, Business Impacts",https://www.linkedin.com/posts/margriet-kuijper_house-passes-sweeping-energy-tax-reform-activity-7331352621011668994-8ji9
Y,4mo,Ana Alvarez Grullón,Evolving ESG Materiality: A Framework for Understanding Climate Risk in Investment and Strategy,"Ana Alvarez Grullón highlights a Harvard Business School framework on the evolving financial materiality of ESG issues, emphasizing that the question should be 'how does it become material?' rather than 'is it material?'. The framework identifies materiality pathways (status quo, catalyst, stakeholder pressure, company response, regulatory shift, innovation), providing a lens for investors, companies, and regulators to understand risk and design responsive strategies. Jean Rogers, a co-creator, stresses that materiality is a mindset for assessing idiosyncratic, industry-wide, or macro risks and a company's resilience, with physical climate/nature/water change risks being key emerging issues.","ESG, Risk Disclosure, Business Impacts, Policies and Measures, Economics",https://www.linkedin.com/posts/anaalvarezgrullon_how-esg-issues-become-financially-material-ugcPost-7323655187447877633-Ws_E
Y,3mo,Charlie Hills,Rebuilding LinkedIn Strategy: A Masterclass in Consistent Growth and Engagement,"Charlie Hills details his LinkedIn strategy, which led to gaining over 100,000 followers and creating more than 815 posts in 494 days, transforming his engagement from minimal to significant. His 'full roadmap' includes profile optimization, consistent content ideation and strategy (TOFU, MOFU, BOFU), hierarchical content creation, strategic posting times, daily engagement with other creators, regular data analysis, and repurposing top-performing content. He also emphasizes personalized connection requests and qualifying leads for DMs, showcasing LinkedIn as a powerful tool for growth through discipline and treating it like a system.","Social Media Strategy, Content Marketing, Professional Networking",https://www.linkedin.com/posts/charlie-hills_i-rebuilt-my-linkedin-strategy-from-scratch-activity-7326910888098021376-zx91
Y,4mo,Roberta Boscolo,Climate Risks as Financial Risks: Trillions in Corporate Value Exposed by 2050,"Roberta Boscolo highlights an alarming USD 1.14 trillion in corporate value linked to major stock markets being exposed to severe socio-economic impacts from climate change by 2050, according to the Climate Hazard and Vulnerability Index (CHVI). She emphasizes that 48 countries will be highly vulnerable, with India alone accounting for over $1 trillion of at-risk assets, impacting global markets and supply chains. Boscolo urges companies to prioritize dedicated climate leadership at the highest level, proactively identify risks, manage socio-economic vulnerabilities beyond physical hazards, and strategically invest in resilient infrastructure and diversified supply chains, especially in vulnerable regions. The globalized nature of operations means climate vulnerability anywhere becomes a financial risk everywhere.","Climate Risk, Business Impacts, Economics, Risk Disclosure, Policies and Measures",https://www.linkedin.com/posts/roberta-boscolo-89247216_climatechange-climaterisk-climateleadership-activity-7324806529688215553-s4oH
Y,4mo,Galit Palzur,IAIS Roadmap for Integrating Climate-Related Risks into Insurance Supervision,"Galit Palzur shares a new IAIS publication outlining a roadmap for integrating climate-related risks into insurance supervision, emphasizing that regulations and public policies shape markets and human behavior. Key takeaways include the expectation for insurers to embed climate considerations across governance, risk management, valuation, investments, and disclosures, moving beyond historical data to forward-looking tools like scenario analysis. Supervisors should focus on physical, transition, and liability risks impacting balance sheets, prevent greenwashing, and promote risk-based pricing and proactive adaptation to close protection gaps and safeguard solvency. Insurers need to build internal capacity, while supervisors can work on climate-aligned templates and cross-border coordination, and policymakers must strengthen data infrastructure and support transition finance.","Risk Disclosure, Business Impacts, Policies and Measures, Economics, Litigation",https://www.linkedin.com/posts/galit-palzur_iais-supervision-of-climate-related-risks-ugcPost-7324673761234808832-fZAm
Y,3mo,Josh H.,The Volatility of Nature-Backed Crypto: A 99.4% Loss in Moss Carbon Credits,"Josh H. recounts his 'expensive experiment' with nature-backed crypto, revealing a nearly 99.4% plummet in his Moss carbon-backed credits (MCO2) investment since 2020. He notes the speculative nature of crypto, contrasting it with the perceived altruism and potential for 'astronomical' climate benefits, as seen with Klima tokens which also crashed after retiring 25 million tonnes of 'questionable' carbon credits. Despite the significant loss and skepticism of nature-backed credits as a 'panacea,' Josh H. remains intrigued by the marriage of climate action and innovative fintech, advising a 'wait it out' approach for others.","Carbon Accounting, Offsets, Economics, Risk Disclosure",https://www.linkedin.com/posts/josh-h-3a655413_in-viticulture-the-joke-goes-whats-the-activity-7330287565633228800-HVg5
Y,3mo,Yulia Titova,Beyond Individual Nudges: Systemic Change Needed for 1.5°C Climate Goal,"Yulia Titova argues that common climate advice focusing on individual actions like offsetting flights or recycling is largely ineffective and distracts from the real issue of systemic change. Citing a University of Sussex paper, she asserts that achieving the 1.5°C target requires radical shifts such as significant cuts in personal living space, car ownership, and air travel, driven by the fact that the richest 10% are responsible for nearly half of emissions growth since 1990. Titova advocates for scalable solutions that involve shifting social norms and supply chains, targeting high-emitting industries, and redesigning infrastructure to make low-carbon choices defaults, rather than focusing on personal virtue.","Policies and Measures, Impacts, Psychology, Economics, Communications",https://www.linkedin.com/posts/yuktitova_individual-action-isnt-enough-for-15c-activity-7327588430761127936-Inz3
Y,3mo,Carlo Angeles,The Silent Collapse: Accelerating Global Decline of Terrestrial Insects and Ecosystem Impacts,"Carlo Angeles highlights the alarming global decline of terrestrial insects at an average rate of 9% per decade, with over 75% reductions in biomass observed in protected areas in Germany and the Netherlands. This 'silent collapse' is driven by habitat loss, pesticides, light pollution, climate disruption, and land degradation. The decline of insects, which are crucial pollinators, soil builders, and decomposers, has ripple effects across ecosystems, impacting plants, birds, fish, and ultimately food security and human life. Angeles emphasizes the urgency for collective and systemic changes rather than solely focusing on individual behavior.","Biodiversity, Impacts, Science, Policies and Measures",https://www.linkedin.com/posts/angelescarlo_the-silent-collapse-is-accelerating-activity-7326236983343673344-Ly2E
Y,3mo,Markus Leippold,Empirical Evidence: Mandatory Climate Disclosure Enhances Reporting Quality and ESG Performance,"Markus Leippold shares new research demonstrating that mandatory climate disclosure significantly increases both the quantity and quality of climate reporting, particularly for corporate issuers. The study, focusing on New Zealand's world-first TCFD/ISSB-aligned mandate, found that fund managers improved portfolio ESG performance and reduced carbon intensities. While challenges like data reliability and metrics complexity remain, the evidence supports the effectiveness of mandatory disclosure frameworks in enhancing transparency. However, Mark Baker-Jones comments that the improvement might be surface-level compliance rather than deep integration of climate risk into financial understanding and decision-making.","Climate Risk, Risk Disclosure, ESG, Policies and Measures, Economics",https://www.linkedin.com/posts/markus-leippold-578bb95_newzealand-climatedisclosure-esg-activity-7326142855347933185-hp9a
Y,3mo,Matthew Phillips,Transforming the Climate Movement: A 'House Party' Approach for Collective Momentum,"Matthew Phillips announces his TED Talk, 'What if the climate movement felt like a house party?', which addresses the fragmented state of the climate movement and proposes building a truly inclusive 'house'. He advocates for balancing optimism with realism, empowering a new economy by supporting organizations through challenges, and harnessing the power of art and culture to reach beyond eco-echo-chambers. Phillips notes that 80% of people worldwide want climate action but the movement has failed to make it personally resonant for this global supermajority, highlighting efforts like Mission 2025 to coordinate voices and support Brazil's COP30.","Communications, Psychology, Policies and Measures, Energy Transition, Impacts",https://www.linkedin.com/posts/matthew-phillips-16aa9054_matthew-phillips-what-if-the-climate-movement-activity-7329170179794309120-abXD/
Y,3mo,Robert Vautard,The Enduring Need for Physical Climate Science in IPCC Reports and Climate Transitions,"Robert Vautard reflects on the continuing need for the IPCC Working Group I (WGI) Physical Science Report, having initially doubted its utility for governments' transition efforts. He now believes physical climate science will deliver novel, powerful messages and can widen its reach through improved communication, fostering trust in a low-carbon future and equity. Vautard highlights the accelerating global warming, new key observations, and the need to understand extreme anomalies, reduce uncertainties in future projections using Bayesian approaches, and refine emission scenarios. Future reports will also address critical thresholds for large-scale reorganizations in Earth systems and the effectiveness of carbon dioxide removal techniques.","Science, Impacts, Policies and Measures, Carbon Capture, New Reports",https://www.linkedin.com/posts/robert-vautard-8909171aa_my-ipcc-journal-national-weather-services-activity-7327216263397609472-hQeN
Y,3mo,David Carlin,NGFS Short-Term Scenarios: A New Tool for Analyzing Climate Impacts on Financial Stability,"David Carlin announces the NGFS's new short-term scenarios, a publicly available tool from over 100 central banks and supervisors, designed to analyze near-term climate policy and climate change impacts on financial stability. The four scenarios illustrate that regional extreme weather causes temporary but material GDP losses, impacting the global economy, and delaying transition efforts increases economic costs and financial stress. These scenarios are well-suited for climate stress-testing and offer granular outputs across financial variables, sectors, and countries, representing a major advance in finance's toolkit for understanding climate-related risks within a policy-relevant timeframe.","Climate Risk, Economics, Policies and Measures, Risk Disclosure, New Reports",https://www.linkedin.com/posts/david-carlin7_ngfs-climate-climaterisk-activity-7328033931600039936-0_rg
Y,3mo,Mark Cliffe,Critique of NGFS Short-Term Climate Scenarios: Mired in 'Model-Land' and Understating Risks,"Mark Cliffe critiques the new NGFS short-term climate scenarios, calling them an 'important step' but still 'mired in 'model-land'' and bearing little resemblance to the real world. He identifies two essential problems: only one scenario integrates both physical and transition risks despite their near-inevitability, and the reliance on a single, smooth baseline narrative ignores real-world economic and political shocks. Cliffe argues that the NGFS structurally understates climate-related financial risks and opportunities by equating transition risk solely with carbon pricing, emphasizing that macro-financial volatility is also a primary cause, not just a consequence, of transition risk.","Climate Risk, Economics, Policies and Measures, Risk Disclosure, New Reports, Science",https://www.linkedin.com/feed/update/urn:li:activity:7328458462235967491/
Y,3mo,Michael P Totten,"Undermining Autocrats: The Power of Nonviolent Protest, Mockery, and Humor","Michael P Totten discusses Gene Sharp's playbook for overturning autocrats, emphasizing nonviolent protests and humor as effective strategies. Abstract arguments for democratic values are less effective than approaches like mockery and salacious humor, which put autocrats in a difficult position of either appearing ridiculous by cracking down or weak by ignoring them. Examples include Chinese internet puns used to mock censors and President Xi Jinping being mocked as Winnie-the-Pooh, leading to bans on Pooh bear images. The post highlights the 'sheer helplessness' of authoritarians against humor, irony, and sarcasm.","Political Science, Social Movements, Communication Strategy",No matching URL found in provided list.
Y,3mo,Joe Romm,"Renewables are Cheaper and Available Now, While Gas Costs Triple and Delays Mount","Joe Romm counters a narrative promoting natural gas for AI data centers by citing NextEra Energy CEO John Ketchum, who states that renewables are 'cheaper and available right now'. Ketchum highlights a threefold increase in gas plant construction costs and significant delays, projecting gas can only deliver one-sixth of the 460 GW needed by 2030, with renewables making up the majority. Romm also points out that US gas prices have risen significantly since earlier EIA analyses, due to increased LNG exports, and a labor shortage further exacerbates the challenges for gas projects.","Energy Transition, Economics, Business Impacts, Policies and Measures, Science",No matching URL found in provided list.
Y,3mo,Laszlo Varro,US Energy Market Crossroads: Solar Stock Plummets Amidst Trump's Tax Bill and Accelerating Power Demand,"Laszlo Varro discusses the plummeting solar stocks following the advancement of Trump's tax bill in the US House, which reveals a conservative 'blindspot' regarding solar's significant contribution to incremental power. He notes the belief that gas investment will compensate for solar shortfalls, despite gas plant manufacturers facing supply chain issues and inability to take new orders this decade due to prior 'rightsizing'. With US power demand dynamically accelerating, largely driven by AI, Varro suggests that if the solar shortfall is larger than policymakers expect and gas production doesn't rapidly increase, the US energy markets could face 'exiting times'.","Energy Transition, Economics, Policies and Measures, Business Impacts, Impacts",https://www.linkedin.com/posts/laszlo-varro-57123b3_solar-stocks-plummet-after-trumps-tax-bill-activity-7331556139169427456-tTwj/
Y,3mo,Toby Lockwood,EU Confirms CO2 Storage Obligations for Oil and Gas Producers,"Toby Lockwood announces the confirmation of significant obligations on EU oil and gas producers to develop CO2 storage capacity, inviting users to check CATF's CO2 storage tracker to compare company plans against binding targets. He highlights the landmark legislation and invites participation in a Brussels workshop to discuss its implementation for climate impact. A comment by Margriet Kuijper suggests the need for tradeable storage certificates, indicating a market-based approach to meeting these obligations.","Carbon Capture, Policies and Measures, Business Impacts, Economics",https://www.linkedin.com/posts/toby-lockwood-a570338b_the-scale-of-the-obligations-on-the-eus-activity-7331630092617400320-NinG
Y,3mo,Ivo Degn,Climate Farmers Exits Carbon Markets: A Call for Better Systems for Regenerative Agriculture,"Ivo Degn announces Climate Farmers' decision to exit carbon markets after years of pioneering soil carbon credits, attributing it to the market's misalignment with regenerative agriculture. He argues that carbon markets reward simplicity over the complexity and nuance of regenerative practices, with costly and inconsistent monitoring that excludes many farmers. The rules often ignore the dynamic reality of soil science, creating disincentives, and the pursuit of credibility comes at a cost, leading them to prioritize a 'better system' that values multiple ecosystem services and sees farmers as stewards. This shift is not an exit from their mission but a focus on building systems that truly contribute to diverse, family-owned farms.","Carbon Accounting, Offsets, Policies and Measures, Economics, Biodiversity",https://www.linkedin.com/posts/ivo-degn-50668658_time-to-talk-about-carbon-markets-after-activity-7331216362851201024-Kq1-
Y,3mo,Janet Ranganathan,Record-Breaking Tropical Forest Loss in 2024 Driven by Fires and Agriculture,"Janet Ranganathan reports a record-shattering loss of 6.7 million hectares of primary rainforest in the tropics in 2024, an 80% jump from 2023, with nearly half due to human-caused fires for agricultural land clearing. Non-fire related primary forest loss also increased by 14%, primarily due to conversion to agriculture, severely impacting Latin America. This widespread tree cover loss, including in boreal regions, is critical because tropical forests underpin livelihoods, carbon storage, water provision, and biodiversity, yet their services are often undervalued until lost. Addressing this requires simultaneous deployment of global, national, and subnational policies, financial incentives, and recognition of indigenous rights.","Biodiversity, Impacts, Policies and Measures, Economics, Science",https://www.linkedin.com/feed/update/urn:li:activity:7331996515667808257/
Y,3mo,Melissa Lindsay,Demystifying Corresponding Adjustments in Article 6 of the Paris Agreement,"Melissa Lindsay clarifies the confusion around Corresponding Adjustments (CAs) in Article 6 of the Paris Agreement, noting that while investors seek Letters of Authorization (LoAs), an LoA alone doesn't guarantee a CA or premium prices. She explains that projects outside a country's Nationally Determined Contribution (NDC) can be eligible for a CA if emissions are nationally reported, while projects inside an unconditional NDC generally don't qualify. Projects in conditional NDCs can request CAs, but supply is limited and dependent on a country's agreement for various uses (NDC, CORSIA, Voluntary Use). Critics in the comments highlight that CAs are for double counting, not additionality or environmental integrity, and there's confusion about tradable budgets and the distinction between the VCM and Article 6 compliance markets.","Carbon Accounting, Policies and Measures, Economics, Risk Disclosure",https://www.linkedin.com/posts/melissa-lindsay-46b0287_comment-demystifying-the-link-between-article-activity-7331533756052234241-hz2X
